NUM_POSTE;NOM_USUEL;LAT;LON;ALTI;AAAAMMJJ;DHUMEC;QDHUMEC;PMERM;QPMERM;PMERMIN;QPMERMIN;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;INFRART;QINFRART; UV;QUV;UV_INDICEX;QUV_INDICEX;SIGMA;QSIGMA;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;UM;QUM;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE; ECOULEMENTM;QECOULEMENTM;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE; VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;NB300;QNB300;BA300;QBA300;TMERMIN;QTMERMIN;TMERMAX;QTMERMAX
 01014002;ARBENT;46.278167;5.669000;534;20240308;;;;;;;;;;;;;;;;;;;;;;;28;1;1250;9;97;1;351;9;71;1;327;9;651;9;5.6;9;;;1.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240309;;;;;;;;;;;;;;;;;;;;;;;36;1;1509;9;92;1;28;9;59;1;57;9;236;9;5.9;9;;;1.8;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240310;;;;;;;;;;;;;;;;;;;;;;;56;1;1618;9;96;1;736;9;81;1;0;9;882;9;7.4;9;;;1.1;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240311;;;;;;;;;;;;;;;;;;;;;;;68;1;1035;9;97;1;252;9;89;1;0;9;1099;9;7.1;9;;;0.5;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240312;;;;;;;;;;;;;;;;;;;;;;;62;1;1537;9;96;1;1;9;87;1;0;9;993;9;8.3;9;;;0.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240313;;;;;;;;;;;;;;;;;;;;;;;63;1;1420;9;97;1;27;9;89;1;0;9;1098;9;9.3;9;;;1.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240314;;;;;;;;;;;;;;;;;;;;;;;27;1;1334;9;98;1;126;9;62;1;441;9;545;9;7.4;9;;;2.7;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240315;;;;;;;;;;;;;;;;;;;;;;;49;1;1236;9;97;1;656;9;75;1;0;9;655;9;9.5;9;;;1.5;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240316;;;;;;;;;;;;;;;;;;;;;;;56;1;1455;9;97;1;2158;9;84;1;0;9;978;9;9.3;9;;;1.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240317;;;;;;;;;;;;;;;;;;;;;;;48;1;1531;9;98;1;224;9;83;1;0;9;1002;9;9.6;9;;;1.5;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240318;;;;;;;;;;;;;;;;;;;;;;;69;1;1702;9;98;1;2337;9;88;1;0;9;1083;9;10.9;9;;;1.3;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240319;;;;;;;;;;;;;;;;;;;;;;;37;1;1428;9;98;1;1;9;80;1;37;9;912;9;9.1;9;;;2.3;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240320;;;;;;;;;;;;;;;;;;;;;;;32;1;1437;9;98;1;439;9;65;1;286;9;515;9;8.7;9;;;2.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240321;;;;;;;;;;;;;;;;;;;;;;;41;1;1629;9;96;1;2355;9;66;1;0;9;399;9;9.5;9;;;3.3;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240322;;;;;;;;;;;;;;;;;;;;;;;19;1;1218;9;97;1;115;9;70;1;331;9;720;9;8.2;9;;;2.7;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240323;;;;;;;;;;;;;;;;;;;;;;;36;1;1225;9;97;1;125;9;65;1;21;9;359;9;6.7;9;;;2.0;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240324;;;;;;;;;;;;;;;;;;;;;;;53;1;1452;9;97;1;2323;9;80;1;0;9;737;9;6.3;9;;;1.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240325;;;;;;;;;;;;;;;;;;;;;;;29;1;1350;9;98;1;632;9;66;1;395;9;617;9;5.4;9;;;1.8;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240326;;;;;;;;;;;;;;;;;;;;;;;31;1;1128;9;96;1;2109;9;72;1;303;9;806;9;8.3;9;;;2.6;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240327;;;;;;;;;;;;;;;;;;;;;;;59;1;2340;9;97;1;7;9;81;1;0;9;790;9;6.6;9;;;1.2;9;;;;;4;9;2;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240328;;;;;;;;;;;;;;;;;;;;;;;27;1;1542;9;91;1;540;9;49;1;545;9;137;9;6.0;9;;;3.9;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240329;;;;;;;;;;;;;;;;;;;;;;;21;1;2339;9;58;1;644;9;39;1;834;9;0;9;7.2;9;;;4.9;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240330;;;;;;;;;;;;;;;;;;;;;;;18;1;51;9;98;1;2341;9;66;1;464;9;702;9;7.7;9;;;2.5;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240331;;;;;;;;;;;;;;;;;;;;;;;36;1;1537;9;98;1;40;9;74;1;143;9;747;9;8.8;9;;;2.3;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240401;;;;;;;;;;;;;;;;;;;;;;;45;1;1428;9;97;1;42;9;80;1;0;9;849;9;8.3;9;;;2.1;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01014002;ARBENT;46.278167;5.669000;534;20240402;;;;;;;;;;;;;;;;;;;;;;;33;1;1623;9;95;1;1;9;69;1;160;9;636;9;7.3;9;;;2.5;9;;;;;0;9;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
 01027003;BALAN_AERO;45.833000;5.106667;196;20230101;;;;;;;;;;;;;;;;;;;;;;;49;1;2148;9;69;1;749;9;59;1;0;9;0;9;10.0;9;;;3.4;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
